名字,特点,吃鱼效果,供奉进度,出现地点,重量,力量系数K,体力,图鉴描述,,,
花瓣鱼,鳞片边缘像花瓣一样柔软，游过的地方会留下细小光点。,恢复少量饥饿，头上会长小花。,3,河流，森林湖。,,,,“当森林重新开花时，第一批回来迎接春天的，就是这些小鱼。”,,,
晨露鱼,"鱼鳞表面像覆盖了一层露水，清晨阳光照射时会出现细小光点。
 它们喜欢在太阳刚升起的时候靠近水面。",恢复少量饥饿值，短时间移速加成。,2,河流，森林湖。,,,,“它们总是在森林醒来之前先醒来，好像每天都负责迎接第一缕阳光。”,,,
落叶鱼,背部颜色与落叶相似，经常藏在漂浮的叶子下面。,恢复少量饥饿值。,2,河流，森林湖。,,,,“它们喜欢把自己藏起来，但又总是忍不住偷偷观察岸边的小猫。”,,,
泉眼鱼,"生活在森林最清澈的水域，身体颜色非常透明。
 游动时几乎看不见。",恢复较多饥饿值。,1,河流，森林湖。,,,,“只有森林愿意分享秘密的时候，才会带领小猫找到它们。”,,,
荧光鳍鱼,"鱼鳍会散发微弱光芒。
 不是夜晚出现，而是在森林恢复后逐渐增加。",增加森林探索时：萤火虫增多环境互动反馈,3,河流，森林湖。,,,,“当森林重新充满生命时，它们会成为湖水里的第一批小灯。”,,,
温泉鱼,"身体温度比普通鱼稍高。
 离开水后会冒出小小热气。",恢复饥饿值。,1,河流，森林湖。,,,,“它们喜欢待在温暖的地方，和喜欢晒太阳的小猫有一点像。”,,,
风铃鱼,鳞片互相碰撞时会发出轻微声音。,恢复少量饥饿，加变声器。,3,河流，森林湖。,,,,“它们不会唱歌，只是把森林的声音带在了身上。”,,,
星辉鱼,尾鳍会随着极光颜色变化，像把星空藏在身体里。,恢复大量状态，身体有星星环绕特效。,3,河流，森林湖。,,,,“传说只有愿意一起守护森林的小猫，才能看到它真正的模样。”,,,
月纹鱼,身上有类似月亮形状的纹路。,饥饿状态回满，散发微光。,3,极光活动森林湖。,,,,“白天找不到它们，不是因为它们不存在，而是因为它们不喜欢被阳光打扰。”,,,
圣纹鱼,鳞片上出现类似圣猫神纹的图案。,不推荐食用。食用后：触发圣猫记忆。,5,祭坛附近水域。,,,,“传说它们曾经陪伴圣猫守护森林，在很久以前就学会了记住这里的一切。”,,,
星愿鱼,身体散发柔和光芒。,恢复全部状态。获得短暂“森林祝福”。效果：猫咪动作更加活跃 解锁：森林过去片段圣猫故事,5,恢复后的森林湖。,,,,“当森林终于恢复的时候，它们会游回湖中央，像是在庆祝一个漫长等待的结束。”,,,
咸鱼,"
 虽然不能吃
 但是：
 “拿来吓唬朋友很好用。”",（咸鱼干）效果：猫咪被打一个趔趄后退几步原地炸毛投掷远距离命中：玩家被轻微击退翻滚一下掉落当前手上的小物品（可选）,2,河流,,,,,,,
,,,,,,,,,,,
臭臭鱼,"
 味道臭臭的。",臭鱼多人互动：投掷后：附近玩家暂时无法靠近猫咪出现嫌弃表情触发捂鼻动作不会造成惩罚。,-1,河流 森林湖。,,,,,,,
弹跳鱼,"离开水后会不断跳动。
 表现：
 猫咪吓一跳
 尾巴炸毛
 原地跳开",效果：鱼会弹跳撞到附近猫咪。,2,河流,,,,,,,
睡眠鱼,捕获后依然半睡半醒。,食用：降低体力值消耗 互动：放在营地：附近猫咪容易打哈欠。,2,河流,,,,,,,
泡沫鱼,受到刺激会吐出大量泡泡。,效果：猫咪追逐泡泡自动触发玩耍动作,3,河流,,,,,,,
伪装鱼,会改变颜色。,短时间改变猫咪外观颜色。,2,河流,,,,,,,
荧斑河豚,"受到惊吓时身体会膨胀，身上的荧光斑点会变亮。
 外表非常可爱，容易让小猫误以为很好吃。",晕倒,2,河流,,,,,,,
苦叶鱼,长期生活在特殊水草区域，体内积累了苦味物质。,持续减少状态大量食用：可能晕倒。,2,森林湖。,,,,,,,
黑纹鳗,"身体黑色纹路明显，喜欢躲在水底。
 钓上来时：
 会剧烈挣扎。",晕倒,2,河流，森林湖。,,,,,,,
迷幻花鱼,"身体颜色鲜艳，像森林里的花。
 非常容易吸引小猫。",生吃：短暂产生特殊视觉效果然后晕倒。,3,森林湖。,,,,,,,
睡梦鱼,捕获后会保持安静，像是在睡觉。,"过量：
 猫咪犯困行走困难原地睡着",3,河流，森林湖。,,,,,,,
青鳞鲫,,恢复少量饥饿值。,1,河流，森林湖,0.2~1.5,1,30,“森林里最常见的小鱼，总是在浅水边寻找食物。虽然不起眼，但每片水域都有它们生活过的痕迹。”,,,酵
河口鲈,,恢复较多饥饿值。食用后短时间增加体力恢复速度.,2,河流,1~5 ,1.6,60,“喜欢藏在水流变化的位置，等待经过的小鱼。很多小猫第一次挑战大鱼，就是从它开始。”,,,腥
金鳞鲤,,恢复大量饥饿。有概率获得“好运”状态：下一次钓鱼等待时间降低。,3,,1~6,1.6,70,“传说看到金色鳞片的小猫，一整天都会遇到好事情。虽然没人知道是真是假，但大家都喜欢相信。”,,,香
泥鳅,,恢复少量饥饿，猫咪食用后可能获得“满嘴泥巴”搞笑状态,,河流,0.05~0.5,0.8,15,“它们总喜欢钻进泥巴里，只露出一点点脑袋观察路过的小猫。”,,,酵
鲶鱼,,恢复大量饥饿。增加黄色体力。,2,河流,3~15,2,120,“很多小猫第一次见到它时，都以为水里藏着怪物。”,,,腥
鳜鱼,,恢复大量饥饿。,2,河流,1~8,1.8,100,“安静的时候像一块石头，但一旦发现猎物，就会瞬间爆发。”,,,腥
